,index,time,open,high,low,close,volume,currency_volume
227,227,2023-06-30 19:47:00,30377.5,30382.5,30370.5,30382.5,20.991,637655.41
228,228,2023-06-30 19:48:00,30382.5,30399,30382,30395.5,31.073,944437.226
229,229,2023-06-30 19:49:00,30395.5,30406.5,30386,30406.5,110.596,3361419.6575
230,230,2023-06-30 19:50:00,30406.5,30408,30387,30392.5,79.958,2430285.304
231,231,2023-06-30 19:51:00,30392.5,30404,30387.5,30399,51.508,1565676.5485
232,232,2023-06-30 19:52:00,30399,30399,30375.5,30381,41.013,1246242.5545
233,233,2023-06-30 19:53:00,30381,30391,30380.5,30385,39.237,1192150.415
234,234,2023-06-30 19:54:00,30385,30402.5,30382,30400.5,26.568,807429.7725
235,235,2023-06-30 19:55:00,30400.5,30401,30393,30401,38.47,1169411.439
236,236,2023-06-30 19:56:00,30401,30411,30401,30404.5,91,2767245.808
237,237,2023-06-30 19:57:00,30404.5,30433.5,30404.5,30429,109.714,3337474.7945
238,238,2023-06-30 19:58:00,30429,30454,30415.5,30424,264.634,8051807.617
239,239,2023-06-30 19:59:00,30424,30428.5,30354,30354,131.465,3994871.4065
240,240,2023-06-30 20:00:00,30354,30396,30354,30368.5,59.692,1813131.908
241,241,2023-06-30 20:01:00,30368.5,30402,30357,30360,238.823,7254772.568
242,242,2023-06-30 20:02:00,30360,30379.5,30360,30379.5,61.666,1872494.83
243,243,2023-06-30 20:03:00,30379.5,30387.5,30379.5,30387.5,37.618,1142975.7135
244,244,2023-06-30 20:04:00,30387.5,30400.5,30387,30400.5,36.94,1122756.5495
245,245,2023-06-30 20:05:00,30400.5,30418,30400,30418,112.502,3420961.1445
246,246,2023-06-30 20:06:00,30418,30418,30403.5,30411,69.144,2102503.4895
247,247,2023-06-30 20:07:00,30411,30414.5,30403,30406.5,27.9,848382.987
248,248,2023-06-30 20:08:00,30406.5,30428,30402,30402,83.702,2545906.005
249,249,2023-06-30 20:09:00,30402,30424,30402,30415.5,29.391,893902.8525
250,250,2023-06-30 20:10:00,30415.5,30438,30415.5,30430,49.257,1498609.3985
251,251,2023-06-30 20:11:00,30430,30430.5,30406.5,30407,54.079,1644959.37
252,252,2023-06-30 20:12:00,30407,30407,30387.5,30389,44.228,1344494.3545
253,253,2023-06-30 20:13:00,30389,30392,30388,30392,58.693,1783729.8635
254,254,2023-06-30 20:14:00,30392,30392,30374,30378.5,87.023,2643561.9135
255,255,2023-06-30 20:15:00,30378.5,30378.5,30359,30359,94.417,2867185.3485
256,256,2023-06-30 20:16:00,30359,30364.5,30350.5,30363.5,66.042,2005066.0915
257,257,2023-06-30 20:17:00,30363.5,30376,30363.5,30374.5,110.337,3350644.4755
258,258,2023-06-30 20:18:00,30374.5,30374.5,30366,30373,74.862,2273549.7725
259,259,2023-06-30 20:19:00,30373,30387,30373,30377,67.76,2058655.414
260,260,2023-06-30 20:20:00,30377,30380,30363,30369.5,84.751,2573878.8885
261,261,2023-06-30 20:21:00,30369.5,30377.5,30369.5,30377.5,58.987,1791746.112
262,262,2023-06-30 20:22:00,30377.5,30377.5,30368,30373.5,95.702,2906581.5105
263,263,2023-06-30 20:23:00,30373.5,30374,30372.5,30374,33.109,1005636.1295
264,264,2023-06-30 20:24:00,30374,30381.5,30373.5,30381,25.663,779483.9285
265,265,2023-06-30 20:25:00,30381,30383,30372.5,30373,41.965,1274821.321
266,266,2023-06-30 20:26:00,30373,30463.5,30373,30457.5,184.44,5612942.0665
267,267,2023-06-30 20:27:00,30457.5,30486.5,30451,30475,174.355,5313921.9125
268,268,2023-06-30 20:28:00,30475,30493.5,30461,30490,136.532,4160924.188
269,269,2023-06-30 20:29:00,30490,30503.5,30472.5,30478,105.54,3217789.4275
270,270,2023-06-30 20:30:00,30478,30490.5,30461.5,30461.5,69.849,2128610.962
271,271,2023-06-30 20:31:00,30461.5,30462,30425,30425,57.15,1739408.951
272,272,2023-06-30 20:32:00,30425,30456,30421,30455.5,38.403,1168764.7085
273,273,2023-06-30 20:33:00,30455.5,30467.5,30438,30459.5,42.936,1307442.7315
274,274,2023-06-30 20:34:00,30459.5,30475,30454,30466.5,50.806,1547632.583
275,275,2023-06-30 20:35:00,30466.5,30466.5,30459,30466.5,56.52,1721686.4655
276,276,2023-06-30 20:36:00,30466.5,30466.5,30438,30438,32.048,976004.976
277,277,2023-06-30 20:37:00,30438,30439,30422,30423,60.93,1854201.462
278,278,2023-06-30 20:38:00,30423,30434.5,30419.5,30434.5,34.066,1036616.9155
279,279,2023-06-30 20:39:00,30434.5,30435,30428,30428,46.917,1427735.098
280,280,2023-06-30 20:40:00,30428,30438,30425,30427,23.552,716806.801
281,281,2023-06-30 20:41:00,30427,30436.5,30426.5,30435,29.226,889478.887
282,282,2023-06-30 20:42:00,30435,30436.5,30420.5,30421.5,54.842,1668715.7545
283,283,2023-06-30 20:43:00,30421.5,30422,30401,30401.5,39.797,1210325.7985
284,284,2023-06-30 20:44:00,30401.5,30404,30400.5,30403.5,42.937,1305399.3165
285,285,2023-06-30 20:45:00,30403.5,30406.5,30402,30406,38.905,1182836.248
286,286,2023-06-30 20:46:00,30406,30406.5,30380,30393,53.673,1631110.759
287,287,2023-06-30 20:47:00,30393,30402.5,30393,30402.5,37.234,1131908.2215
288,288,2023-06-30 20:48:00,30402.5,30405.5,30397.5,30397.5,45.62,1386996.4405
289,289,2023-06-30 20:49:00,30397.5,30401.5,30395.5,30401.5,40.368,1227056.7495
290,290,2023-06-30 20:50:00,30401.5,30402.5,30400.5,30402.5,33.286,1011942.1385
291,291,2023-06-30 20:51:00,30402.5,30402.5,30375.5,30376.5,53.978,1640043.1735
292,292,2023-06-30 20:52:00,30376.5,30397,30376.5,30397,41.941,1274235.533
293,293,2023-06-30 20:53:00,30397,30418,30395.5,30395.5,50.003,1520506.6475
294,294,2023-06-30 20:54:00,30395.5,30396,30370,30384.5,67.401,2047776.4545
295,295,2023-06-30 20:55:00,30384.5,30400.5,30384.5,30393.5,43.128,1310826.3945
296,296,2023-06-30 20:56:00,30393.5,30396.5,30393,30396.5,43.43,1320037.892
297,297,2023-06-30 20:57:00,30396.5,30396.5,30380,30381,48.584,1476113.632
298,298,2023-06-30 20:58:00,30381,30381.5,30373.5,30373.5,22.014,668744.7635
299,299,2023-06-30 20:59:00,30373.5,30380,30373.5,30379.5,43.265,1314307.5385
300,300,2023-06-30 21:00:00,30379.5,30388.5,30379.5,30387.5,24.881,756048.3025
301,301,2023-06-30 21:01:00,30387.5,30387.5,30377.5,30378,30.454,925223.058
302,302,2023-06-30 21:02:00,30378,30406.5,30377.5,30397,69.982,2127095.128
303,303,2023-06-30 21:03:00,30397,30397,30382.5,30382.5,44.901,1364265.205
304,304,2023-06-30 21:04:00,30382.5,30383,30378,30378,50.115,1522601.495
305,305,2023-06-30 21:05:00,30378,30415,30378,30412,54.309,1651289.46
306,306,2023-06-30 21:06:00,30412,30415.5,30412,30415,25.327,770317.88
307,307,2023-06-30 21:07:00,30415,30415,30379,30380,26.465,804197.3975
308,308,2023-06-30 21:08:00,30380,30396.5,30380,30395,54.626,1660309.21
309,309,2023-06-30 21:09:00,30395,30395.5,30383,30383,47.711,1450156.636
310,310,2023-06-30 21:10:00,30383,30383,30353,30354.5,61.951,1881232.0515
311,311,2023-06-30 21:11:00,30354.5,30356,30324.5,30347,180.98,5490161.3895
312,312,2023-06-30 21:12:00,30347,30360.5,30340.5,30360.5,35.083,1064834.9105
313,313,2023-06-30 21:13:00,30360.5,30376.5,30360.5,30369.5,45.624,1385623.357
314,314,2023-06-30 21:14:00,30369.5,30377.5,30369.5,30377.5,43.288,1314938.4945
315,315,2023-06-30 21:15:00,30377.5,30391,30377,30389.5,35.651,1083219.95
316,316,2023-06-30 21:16:00,30389.5,30389.5,30388,30388.5,47.764,1451467.1165
317,317,2023-06-30 21:17:00,30388.5,30397,30388,30396.5,24.128,733349.4175
318,318,2023-06-30 21:18:00,30396.5,30404,30396.5,30404,84.785,2577508.659
319,319,2023-06-30 21:19:00,30404,30406.5,30402,30402,43.094,1310278.6685
320,320,2023-06-30 21:20:00,30402,30409,30402,30409,18.947,576131.3785
